No.,Name,Pos,L/R,Height,Weight,Birth Date,Hometown
9,Brennan Bosch,C,R,5'8'',173,"Feb. 14, 1998","Martensville, SK"
11,Scott Waden,C,R,6'1'',188,"Jan. 4, 1988","Westbank, BC"
12,Colton Grant,LW,L,5'9'',177,"Mar. 20, 1989","Standard, AB"
14,Darren Helm,LW,L,6',182,"Jan. 21, 1987","St. Andrews, MB"
15,Derek Dorsett,RW,L,5'1'',178,"Dec. 20, 1986","Kindersley, SK"
16,Daine Todd,C,R,5'10'',173,"Jan. 10, 1987","Reed Deer, AB"
17,Tyler Swystun,RW,R,5'11'',185,"Jan. 15, 1988","Cochrane, AB"
19,Matt Lowry,C,R,6',186,"Mar. 2, 1988","Neepawa, MB"
20,Kevin Undershute,LW,L,6',178,"Apr. 12, 1987","Medicine Hat, AB"
21,Jerrid Sauer,RW,R,5'10'',196,"Sep. 12, 1987","Medicine Hat, AB"
22,Tyler Ennis,C,L,5'9'',160,"Oct. 6, 1989","Edmonton, AB"
23,Jordan Hickmott,C,R,6',183,"Apr. 11, 1990","Mission, BC"
25,Jakub Rumpel,RW,R,5'8'',166,"Jan. 27, 1989","Hrnciarovce, SLO"
28,Bretton Cameron,C,R,5'11'',168,"Jan. 26, 1989","Didsbury, AB"
36,Chris Stevens,LW,L,5'10'',197,"Aug. 20, 1986","Dawson Creek, BC"
3,Gord Baldwin ,D,L,6'5'',205,"Mar. 1, 1987","Winnipeg, MB"
4,David Shlemko,D,L,6'1'',195,"May. 7, 1987","Edmonton, AB"
5,Trever Glass,D,L,6',190,"Jan. 22, 1988","Cochrane, AB"
10,Kris Russsell,D,L,5'10'',177,"May. 2, 1987","Caroline, AB"
18,Michael Sauer,D,R,6'3'',205,"Aug. 7, 1987","Sartell, MN"
24,Mark Isherwood,D,R,6',183,"Jan. 31, 1989","Abbotsfoord, BC"
27,Shayne Brown ,D,L,6'1'',198,"Feb. 20, 1989","Stony Plain, AB"
29,Jordan Benfield,D,R,6'3'',230,"Feb. 9, 1988","Leduc, AB"
31,Ryan Holfeld,G,L,5'11'',166,"Jun. 29, 1989","LeRoy, SK"
33,Matt Keetly,G,R,6'2'',189,"Apr. 27, 1986","Medicine Hat, AB"
